年度,行政區,印尼男性,印尼女性,馬來西亞男性,馬來西亞女性,新加坡男性,新加坡女性,菲律賓男性,菲律賓女性,泰國男性,泰國女性,緬甸男性,緬甸女性,越南男性,越南女性,柬埔寨男性,柬埔寨女性,寮國男性,寮國女性,其他國家男性,其他國家女性,大陸地區含港澳地區男性,大陸地區含港澳地區女性
109,鹽埕,1,6,2,3,2,3,1,17,1,4,1,0,1,56,0,1,0,0,68,18,19,272 
109,鼓山,4,86,26,22,18,7,2,32,6,29,2,6,3,429,1,5,0,1,376,111,161,1291 
109,左營,1,54,32,23,12,6,4,45,2,18,0,2,6,461,0,7,1,0,329,79,168,2046 
109,楠梓,5,110,17,30,10,3,15,212,15,49,1,5,19,790,0,26,0,0,275,54,132,1571 
109,三民,11,135,72,50,38,6,9,85,26,56,6,16,14,1062,0,35,0,1,822,133,285,2800 
109,新興,2,10,11,11,3,2,0,18,8,6,1,0,1,91,0,2,0,0,163,50,52,347 
109,前金,3,7,6,7,3,0,0,5,1,3,1,1,2,58,0,0,0,0,132,38,35,237 
109,苓雅,3,59,30,23,13,2,1,43,8,22,1,5,13,436,0,20,0,0,432,103,136,1420 
109,前鎮,2,164,29,28,17,9,5,63,5,61,3,6,10,830,0,31,0,1,319,68,120,1697 
109,旗津,0,147,0,2,0,0,0,19,4,15,0,0,1,301,0,1,0,0,11,4,4,228 
109,小港,4,135,20,23,6,2,4,53,14,38,1,3,10,747,0,21,0,1,175,28,95,1175 
109,鳳山,2,194,27,54,24,8,7,96,21,61,2,15,23,1855,0,56,0,1,377,91,233,3462 
109,林園,1,70,3,5,5,0,1,50,17,27,1,5,10,466,0,11,0,0,55,7,24,691 
109,大寮,2,113,12,12,5,2,3,56,23,44,0,3,18,776,0,29,0,0,89,9,53,1254 
109,大樹,1,38,4,5,1,0,0,11,13,16,0,2,3,313,0,19,0,0,25,8,16,543 
109,大社,0,36,2,2,0,1,0,17,1,3,0,0,3,221,0,6,0,0,37,2,17,328 
109,仁武,2,38,18,9,7,5,1,24,8,17,0,1,6,468,0,12,0,0,134,30,58,682 
109,鳥松,1,16,9,8,4,3,0,12,4,8,0,3,5,176,0,4,0,1,56,11,41,388 
109,岡山,4,40,9,14,1,5,3,32,16,29,0,0,22,439,1,11,0,0,133,32,61,791 
109,橋頭,0,12,6,4,1,2,1,11,2,14,0,0,1,177,0,4,0,0,47,11,18,412 
109,燕巢,0,22,2,1,0,1,1,7,8,5,0,2,2,174,0,12,0,0,21,2,27,356 
109,田寮,0,12,1,0,0,0,1,2,0,0,0,0,0,84,0,5,0,0,4,0,0,92 
109,阿蓮,0,1,2,3,3,0,0,3,4,8,1,1,4,178,0,8,0,0,24,6,8,209 
109,路竹,1,30,5,9,2,0,2,8,11,21,0,2,0,313,0,6,0,0,48,6,23,445 
109,湖內,1,16,4,3,0,0,1,12,7,11,0,1,3,181,0,4,0,0,21,5,7,196 
109,茄萣,0,21,1,3,1,0,1,16,1,10,0,2,2,245,0,10,0,0,23,4,6,363 
109,永安,0,20,0,0,1,1,4,4,4,7,0,1,1,108,0,1,0,0,13,1,7,101 
109,彌陀,1,11,1,2,0,0,0,10,4,5,0,0,0,135,0,5,0,0,13,1,3,162 
109,梓官,0,36,5,5,0,0,0,29,3,16,0,3,2,262,0,8,0,0,30,3,14,365 
109,旗山,1,39,8,4,0,1,3,8,2,10,0,0,8,228,1,9,0,0,41,12,18,251 
109,美濃,0,158,4,5,2,0,1,13,1,17,0,2,0,243,0,11,0,0,26,6,8,484 
109,六龜,0,56,0,2,0,0,0,4,0,3,0,0,0,109,0,5,0,0,9,2,3,100 
109,甲仙,1,7,0,0,1,0,0,5,0,3,0,0,0,34,0,19,0,0,3,0,6,49 
109,杉林,0,30,1,1,1,0,0,0,4,6,0,0,2,95,0,6,0,0,10,2,6,143 
109,內門,0,13,0,2,0,1,0,4,1,3,0,1,2,95,0,5,0,0,4,0,3,115 
109,茂林,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
109,桃源,0,2,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,2 
109,那瑪夏,0,1,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,0,2,0,0,4 
